query_name,rank,fraction,lineage,query_md5,query_filename,f_weighted_at_rank,bp_match_at_rank
,superkingdom,0.041961067051189634,d__Bacteria,2ab9653b,1903buk3_0m-2_interleaved.fq.gz,0.048508834678201114,1746000
,superkingdom,0.029055515501081472,Eukaryota,2ab9653b,1903buk3_0m-2_interleaved.fq.gz,0.038146556046556715,1209000
,superkingdom,0.001490026435952896,d__Archaea,2ab9653b,1903buk3_0m-2_interleaved.fq.gz,0.0018986368589593598,62000
,superkingdom,0.927493391011776,unclassified,2ab9653b,1903buk3_0m-2_interleaved.fq.gz,0.9114459724162828,172000
,phylum,0.03109829367940399,d__Bacteria;p__Proteobacteria,2ab9653b,1903buk3_0m-2_interleaved.fq.gz,0.03517157927811687,1294000
,phylum,0.02713290074501322,Eukaryota;Viridiplantae:Chlorophyta,2ab9653b,1903buk3_0m-2_interleaved.fq.gz,0.03482394154337783,1129000
,phylum,0.003893294881038212,d__Bacteria;p__Bacteroidota,2ab9653b,1903buk3_0m-2_interleaved.fq.gz,0.00494046703792594,162000
,phylum,0.002956020187454939,d__Bacteria;p__Verrucomicrobiota,2ab9653b,1903buk3_0m-2_interleaved.fq.gz,0.0033292998442315536,123000
,phylum,0.002691660658495554,d__Bacteria;p__Actinobacteriota,2ab9653b,1903buk3_0m-2_interleaved.fq.gz,0.003275817115810163,112000
,phylum,0.0019226147560682527,Eukaryota;Stramenopila:Ochrophyta,2ab9653b,1903buk3_0m-2_interleaved.fq.gz,0.00332261450317888,80000
,phylum,0.001490026435952896,d__Archaea;p__Thermoplasmatota,2ab9653b,1903buk3_0m-2_interleaved.fq.gz,0.0018986368589593598,62000
,phylum,0.0013217976447969237,d__Bacteria;p__Cyanobacteria,2ab9653b,1903buk3_0m-2_interleaved.fq.gz,0.001791671402116579,55000
,phylum,0.927493391011776,unclassified,2ab9653b,1903buk3_0m-2_interleaved.fq.gz,0.9114459724162828,172000
,class,0.02713290074501322,Eukaryota;Viridiplantae:Chlorophyta;Prasinophyceae,2ab9653b,1903buk3_0m-2_interleaved.fq.gz,0.03482394154337783,1129000
,class,0.015957702475366497,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,2ab9653b,1903buk3_0m-2_interleaved.fq.gz,0.017836489928533702,664000
,class,0.01514059120403749,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,2ab9653b,1903buk3_0m-2_interleaved.fq.gz,0.01733508934958317,630000
,class,0.003893294881038212,d__Bacteria;p__Bacteroidota;c__Bacteroidia,2ab9653b,1903buk3_0m-2_interleaved.fq.gz,0.00494046703792594,162000
,class,0.002956020187454939,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,2ab9653b,1903buk3_0m-2_interleaved.fq.gz,0.0033292998442315536,123000
,class,0.002691660658495554,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia,2ab9653b,1903buk3_0m-2_interleaved.fq.gz,0.003275817115810163,112000
,class,0.0019226147560682527,Eukaryota;Stramenopila:Ochrophyta;Raphidophyceae,2ab9653b,1903buk3_0m-2_interleaved.fq.gz,0.00332261450317888,80000
,class,0.001490026435952896,d__Archaea;p__Thermoplasmatota;c__Poseidoniia,2ab9653b,1903buk3_0m-2_interleaved.fq.gz,0.0018986368589593598,62000
,class,0.0013217976447969237,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia,2ab9653b,1903buk3_0m-2_interleaved.fq.gz,0.001791671402116579,55000
,class,0.927493391011776,unclassified,2ab9653b,1903buk3_0m-2_interleaved.fq.gz,0.9114459724162828,172000
,order,0.02713290074501322,Eukaryota;Viridiplantae:Chlorophyta;Prasinophyceae;Mamiellales,2ab9653b,1903buk3_0m-2_interleaved.fq.gz,0.03482394154337783,1129000
,order,0.01353040134583033,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales,2ab9653b,1903buk3_0m-2_interleaved.fq.gz,0.015423081808518462,563000
,order,0.006633020908435473,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales,2ab9653b,1903buk3_0m-2_interleaved.fq.gz,0.007634659482153482,276000
