query_name,rank,fraction,lineage,query_md5,query_filename,f_weighted_at_rank,bp_match_at_rank
,superkingdom,0.05382269695202598,d__Bacteria,4da2fc47,D0073A_S9_L002_interleaved.fq.gz,0.1250135455343872,189211000
,superkingdom,0.006744513504672233,d__Archaea,4da2fc47,D0073A_S9_L002_interleaved.fq.gz,0.03717134057434315,23710000
,superkingdom,0.0012866062666230496,Eukaryota,4da2fc47,D0073A_S9_L002_interleaved.fq.gz,0.0015641513906176107,4523000
,superkingdom,0.9381461832766788,unclassified,4da2fc47,D0073A_S9_L002_interleaved.fq.gz,0.836250962500652,11293000
,phylum,0.023403547198793905,d__Bacteria;p__Proteobacteria,4da2fc47,D0073A_S9_L002_interleaved.fq.gz,0.049008550159907585,82274000
,phylum,0.005763984696127097,d__Bacteria;p__Verrucomicrobiota,4da2fc47,D0073A_S9_L002_interleaved.fq.gz,0.010694231928903874,20263000
,phylum,0.005289223285781337,d__Bacteria;p__Bacteroidota,4da2fc47,D0073A_S9_L002_interleaved.fq.gz,0.0127232775102907,18594000
,phylum,0.00422307243738355,d__Bacteria;p__Actinobacteriota,4da2fc47,D0073A_S9_L002_interleaved.fq.gz,0.01911604106683326,14846000
,phylum,0.003675774082976575,d__Bacteria;p__Marinisomatota,4da2fc47,D0073A_S9_L002_interleaved.fq.gz,0.009325157052729056,12922000
,phylum,0.0034627145884595146,d__Archaea;p__Thermoproteota,4da2fc47,D0073A_S9_L002_interleaved.fq.gz,0.024062802562476792,12173000
,phylum,0.003281798916212717,d__Archaea;p__Thermoplasmatota,4da2fc47,D0073A_S9_L002_interleaved.fq.gz,0.01310853801186636,11537000
,phylum,0.0029202520303232863,d__Bacteria;p__SAR324,4da2fc47,D0073A_S9_L002_interleaved.fq.gz,0.015851580291525922,10266000
,phylum,0.0023038302351050363,d__Bacteria;p__Planctomycetota,4da2fc47,D0073A_S9_L002_interleaved.fq.gz,0.0020415371404760136,8099000
,phylum,0.0020199405481517298,d__Bacteria;p__Chloroflexota,4da2fc47,D0073A_S9_L002_interleaved.fq.gz,0.001872588803794769,7101000
,phylum,0.001057617090272938,Eukaryota;Haptophyta:Haptophyta,4da2fc47,D0073A_S9_L002_interleaved.fq.gz,0.0009187541710096521,3718000
,phylum,0.0010357137777524926,d__Bacteria;p__Latescibacterota,4da2fc47,D0073A_S9_L002_interleaved.fq.gz,0.0008715985354479738,3641000
,phylum,0.0008687365771096161,d__Bacteria;p__Acidobacteriota,4da2fc47,D0073A_S9_L002_interleaved.fq.gz,0.0007263841610361831,3054000
,phylum,0.0008300502069436346,d__Bacteria;p__Nitrospinota,4da2fc47,D0073A_S9_L002_interleaved.fq.gz,0.0015229292456232961,2918000
,phylum,0.0006479967002801918,d__Bacteria;p__Gemmatimonadota,4da2fc47,D0073A_S9_L002_interleaved.fq.gz,0.0006520593844555247,2278000
,phylum,0.00040791363836777654,d__Bacteria;p__Cyanobacteria,4da2fc47,D0073A_S9_L002_interleaved.fq.gz,0.0003081251241999287,1434000
,phylum,0.0003572800068270065,d__Bacteria;p__Poribacteria,4da2fc47,D0073A_S9_L002_interleaved.fq.gz,0.00024764515894311833,1256000
,phylum,7.538153010283179e-05,d__Bacteria;p__Myxococcota_A,4da2fc47,D0073A_S9_L002_interleaved.fq.gz,5.183997022012313e-05,265000
