query_name,rank,fraction,lineage,query_md5,query_filename,f_weighted_at_rank,bp_match_at_rank
,superkingdom,0.15430255087529077,d__Bacteria,8e937822,zr2760_35_R1_interleaved.fq.gz,0.318139961555031,317361000
,superkingdom,0.009237897746196048,d__Archaea,8e937822,zr2760_35_R1_interleaved.fq.gz,0.02691467625958441,19000000
,superkingdom,0.0018976586791264835,Eukaryota,8e937822,zr2760_35_R1_interleaved.fq.gz,0.0012255609248294711,3903000
,superkingdom,0.8345618926993867,unclassified,8e937822,zr2760_35_R1_interleaved.fq.gz,0.6537198012605552,15075000
,phylum,0.04672771782598233,d__Bacteria;p__Firmicutes_A,8e937822,zr2760_35_R1_interleaved.fq.gz,0.1486996155959938,96107000
,phylum,0.04500071715258821,d__Bacteria;p__Proteobacteria,8e937822,zr2760_35_R1_interleaved.fq.gz,0.06259939218391208,92555000
,phylum,0.015518209598175757,d__Bacteria;p__Verrucomicrobiota,8e937822,zr2760_35_R1_interleaved.fq.gz,0.012701946110953164,31917000
,phylum,0.015319837899204818,d__Bacteria;p__Bacteroidota,8e937822,zr2760_35_R1_interleaved.fq.gz,0.01528677105355448,31509000
,phylum,0.008525607209449886,d__Bacteria;p__Actinobacteriota,8e937822,zr2760_35_R1_interleaved.fq.gz,0.022884091448651694,17535000
,phylum,0.007401500915281184,d__Bacteria;p__Planctomycetota,8e937822,zr2760_35_R1_interleaved.fq.gz,0.006792665334610264,15223000
,phylum,0.005939482045659527,d__Archaea;p__Thermoplasmatota,8e937822,zr2760_35_R1_interleaved.fq.gz,0.008669990767177078,12216000
,phylum,0.005712910448305452,d__Bacteria;p__Firmicutes,8e937822,zr2760_35_R1_interleaved.fq.gz,0.039091403728671634,11750000
,phylum,0.0032984157005365275,d__Archaea;p__Thermoproteota,8e937822,zr2760_35_R1_interleaved.fq.gz,0.018244685492407337,6784000
,phylum,0.0029658513816734696,d__Bacteria;p__SAR324,8e937822,zr2760_35_R1_interleaved.fq.gz,0.0034759758536478023,6100000
,phylum,0.0020158065292488854,d__Bacteria;p__Marinisomatota,8e937822,zr2760_35_R1_interleaved.fq.gz,0.00271928944267891,4146000
,phylum,0.0017099834933353428,d__Bacteria;p__Cyanobacteria,8e937822,zr2760_35_R1_interleaved.fq.gz,0.0011967797351186403,3517000
,phylum,0.001453753382164537,d__Bacteria;p__Nitrospinota,8e937822,zr2760_35_R1_interleaved.fq.gz,0.001283427867105217,2990000
,phylum,0.0009383759289557042,Eukaryota;Viridiplantae:Chlorophyta,8e937822,zr2760_35_R1_interleaved.fq.gz,0.0005310053360934849,1930000
,phylum,0.0005956013020573771,d__Bacteria;p__Chloroflexota,8e937822,zr2760_35_R1_interleaved.fq.gz,0.0005217161690439574,1225000
,phylum,0.0005508704287600067,d__Bacteria;p__Myxococcota_A,8e937822,zr2760_35_R1_interleaved.fq.gz,0.00030791304547778223,1133000
,phylum,0.0003967433979418936,Eukaryota;Stramenopila:Ochrophyta,8e937822,zr2760_35_R1_interleaved.fq.gz,0.0002669493416036361,816000
,phylum,0.0003422884217537906,Eukaryota;Stramenopila:Bacillariophyta,8e937822,zr2760_35_R1_interleaved.fq.gz,0.0002418229061417993,704000
,phylum,0.0002499094442918301,d__Bacteria;p__Desulfobacterota_D,8e937822,zr2760_35_R1_interleaved.fq.gz,0.00019720444801865874,514000
,phylum,0.00019448205781465375,Eukaryota;Haptophyta:Haptophyta,8e937822,zr2760_35_R1_interleaved.fq.gz,0.00012304339304947974,400000
,phylum,0.00016725456972060222,d__Bacteria;p__Myxococcota,8e937822,zr2760_35_R1_interleaved.fq.gz,8.207968917533363e-05,344000
