query_name,rank,fraction,lineage,query_md5,query_filename,f_weighted_at_rank,bp_match_at_rank
,superkingdom,0.04809013592644354,d__Bacteria,d31164e3,D0276A_S59_L002_interleaved.fq.gz,0.1647079150081222,134842000
,superkingdom,0.004866004765432108,Eukaryota,d31164e3,D0276A_S59_L002_interleaved.fq.gz,0.007282382459579679,13644000
,superkingdom,0.0011476695496306453,d__Archaea,d31164e3,D0276A_S59_L002_interleaved.fq.gz,0.000908604455161483,3218000
,superkingdom,0.9458961897584937,unclassified,d31164e3,D0276A_S59_L002_interleaved.fq.gz,0.8271010980771366,3881000
,phylum,0.021614205424290028,d__Bacteria;p__Proteobacteria,d31164e3,D0276A_S59_L002_interleaved.fq.gz,0.07352159325205022,60605000
,phylum,0.018590606157115178,d__Bacteria;p__Bacteroidota,d31164e3,D0276A_S59_L002_interleaved.fq.gz,0.08236497773322381,52127000
,phylum,0.003776824279238201,Eukaryota;Stramenopila:Bacillariophyta,d31164e3,D0276A_S59_L002_interleaved.fq.gz,0.004418090507153096,10590000
,phylum,0.0030656828615988267,d__Bacteria;p__Planctomycetota,d31164e3,D0276A_S59_L002_interleaved.fq.gz,0.00273452203438376,8596000
,phylum,0.002345982068822369,d__Bacteria;p__Verrucomicrobiota,d31164e3,D0276A_S59_L002_interleaved.fq.gz,0.0038531021730064162,6578000
,phylum,0.001482198461238335,d__Bacteria;p__Actinobacteriota,d31164e3,D0276A_S59_L002_interleaved.fq.gz,0.0014429511765142898,4156000
,phylum,0.0008520144667705442,d__Archaea;p__Thermoproteota,d31164e3,D0276A_S59_L002_interleaved.fq.gz,0.0007075524694613322,2389000
,phylum,0.0007350363398970663,d__Bacteria;p__Cyanobacteria,d31164e3,D0276A_S59_L002_interleaved.fq.gz,0.0006345501709103151,2061000
,phylum,0.0007325398554820835,Eukaryota;Viridiplantae:Chlorophyta,d31164e3,D0276A_S59_L002_interleaved.fq.gz,0.00047080569271709075,2054000
,phylum,0.0002956550828601009,d__Archaea;p__Thermoplasmatota,d31164e3,D0276A_S59_L002_interleaved.fq.gz,0.00020105198570015062,829000
,phylum,0.0001134117205663596,Eukaryota;Haptophyta:Haptophyta,d31164e3,D0276A_S59_L002_interleaved.fq.gz,0.0001562184680333256,318000
,phylum,0.00010449570479856402,Eukaryota;Stramenopila:Ochrophyta,d31164e3,D0276A_S59_L002_interleaved.fq.gz,0.0016726020008220553,293000
,phylum,9.878945470717486e-05,Eukaryota;Alveolata:Dinophyta,d31164e3,D0276A_S59_L002_interleaved.fq.gz,0.00020524504850352276,277000
,phylum,9.30832046157857e-05,d__Bacteria;p__Myxococcota_A,d31164e3,D0276A_S59_L002_interleaved.fq.gz,5.569247518325029e-05,261000
,phylum,5.991562595958619e-05,d__Bacteria;p__Marinisomatota,d31164e3,D0276A_S59_L002_interleaved.fq.gz,3.935028169318456e-05,168000
,phylum,4.458007883897782e-05,d__Bacteria;p__Desulfobacterota_B,d31164e3,D0276A_S59_L002_interleaved.fq.gz,2.9028896331037794e-05,125000
,phylum,2.1398437842709355e-05,d__Bacteria;p__SAR324,d31164e3,D0276A_S59_L002_interleaved.fq.gz,1.1719072963270812e-05,60000
,phylum,2.068515658128571e-05,Eukaryota;Cryptophyta:Cryptophyta,d31164e3,D0276A_S59_L002_interleaved.fq.gz,0.00032716641309388147,58000
,phylum,1.925859405843842e-05,Eukaryota;Alveolata:Ciliophora,d31164e3,D0276A_S59_L002_interleaved.fq.gz,3.2254329256708656e-05,54000
,phylum,1.8901953427726598e-05,d__Bacteria;p__Nitrospinota,d31164e3,D0276A_S59_L002_interleaved.fq.gz,1.1826587394126508e-05,53000
,phylum,1.8545312797014774e-05,d__Bacteria;p__Patescibacteria,d31164e3,D0276A_S59_L002_interleaved.fq.gz,8.601154468455643e-06,52000
,phylum,0.9458961897584937,unclassified,d31164e3,D0276A_S59_L002_interleaved.fq.gz,0.8271010980771367,3881000
,class,0.018590606157115178,d__Bacteria;p__Bacteroidota;c__Bacteroidia,d31164e3,D0276A_S59_L002_interleaved.fq.gz,0.08236497773322381,52127000
,class,0.01266466543720753,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,d31164e3,D0276A_S59_L002_interleaved.fq.gz,0.05335962706254343,35511000
,class,0.008949539987082474,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,d31164e3,D0276A_S59_L002_interleaved.fq.gz,0.020161966189506872,25094000
,class,0.0034198270078956666,Eukaryota;Stramenopila:Bacillariophyta;Coscinodiscophyceae,d31164e3,D0276A_S59_L002_interleaved.fq.gz,0.004009213126608886,9589000
,class,0.002345982068822369,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,d31164e3,D0276A_S59_L002_interleaved.fq.gz,0.0038531021730064162,6578000
,class,0.0022561086298829897,d__Bacteria;p__Planctomycetota;c__Planctomycetia,d31164e3,D0276A_S59_L002_interleaved.fq.gz,0.001866880577378297,6326000
,class,0.001389471897253261,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia,d31164e3,D0276A_S59_L002_interleaved.fq.gz,0.0013812378932031206,3896000
