query_name,rank,fraction,lineage,query_md5,query_filename,f_weighted_at_rank,bp_match_at_rank
,superkingdom,0.044384506706298975,d__Bacteria,04c6ce60,1903c117_5m-2_interleaved.fq.gz,0.05080017040666067,2419000
,superkingdom,0.015045595493660668,d__Archaea,04c6ce60,1903c117_5m-2_interleaved.fq.gz,0.019180010557803977,820000
,superkingdom,0.00886222271150988,Eukaryota,04c6ce60,1903c117_5m-2_interleaved.fq.gz,0.013514452151847153,483000
,superkingdom,0.9317076750885305,unclassified,04c6ce60,1903c117_5m-2_interleaved.fq.gz,0.9165053668836882,216000
,phylum,0.03451312819948258,d__Bacteria;p__Proteobacteria,04c6ce60,1903c117_5m-2_interleaved.fq.gz,0.04142085814571621,1881000
,phylum,0.015045595493660668,d__Archaea;p__Thermoplasmatota,04c6ce60,1903c117_5m-2_interleaved.fq.gz,0.019180010557803977,820000
,phylum,0.0075044494596429425,Eukaryota;Viridiplantae:Chlorophyta,04c6ce60,1903c117_5m-2_interleaved.fq.gz,0.011166729951748984,409000
,phylum,0.007229225151832077,d__Bacteria;p__Bacteroidota,04c6ce60,1903c117_5m-2_interleaved.fq.gz,0.00692045528214342,394000
,phylum,0.0013577732518669382,Eukaryota;Haptophyta:Haptophyta,04c6ce60,1903c117_5m-2_interleaved.fq.gz,0.002347722200098169,74000
,phylum,0.0013210766774921561,d__Bacteria;p__Actinobacteriota,04c6ce60,1903c117_5m-2_interleaved.fq.gz,0.001125239634366578,72000
,phylum,0.0013210766774921561,d__Bacteria;p__Verrucomicrobiota,04c6ce60,1903c117_5m-2_interleaved.fq.gz,0.001333617344434463,72000
,phylum,0.9317076750885305,unclassified,04c6ce60,1903c117_5m-2_interleaved.fq.gz,0.9165053668836882,216000
,class,0.02097209225518798,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,04c6ce60,1903c117_5m-2_interleaved.fq.gz,0.025482278633412674,1143000
,class,0.015045595493660668,d__Archaea;p__Thermoplasmatota;c__Poseidoniia,04c6ce60,1903c117_5m-2_interleaved.fq.gz,0.019180010557803977,820000
,class,0.0135410359442946,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,04c6ce60,1903c117_5m-2_interleaved.fq.gz,0.015938579512303548,738000
,class,0.0075044494596429425,Eukaryota;Viridiplantae:Chlorophyta;Prasinophyceae,04c6ce60,1903c117_5m-2_interleaved.fq.gz,0.011166729951748984,409000
,class,0.007229225151832077,d__Bacteria;p__Bacteroidota;c__Bacteroidia,04c6ce60,1903c117_5m-2_interleaved.fq.gz,0.00692045528214342,394000
,class,0.0013577732518669382,Eukaryota;Haptophyta:Haptophyta;Prymnesiophyceae,04c6ce60,1903c117_5m-2_interleaved.fq.gz,0.002347722200098169,74000
