query_name,rank,fraction,lineage,query_md5,query_filename,f_weighted_at_rank,bp_match_at_rank
,superkingdom,0.10489511621076913,d__Bacteria,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.15588187347497057,129649000
,superkingdom,0.012482331933911923,d__Archaea,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.043224314341531615,15428000
,superkingdom,0.0009636023679860711,Eukaryota,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.0008726284947637932,1191000
,superkingdom,0.8816589494873329,unclassified,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.800021183688734,8379000
,phylum,0.05192449435147781,d__Bacteria;p__Proteobacteria,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.08536154803074505,64178000
,phylum,0.015313267857995269,d__Bacteria;p__Verrucomicrobiota,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.016394693093681592,18927000
,phylum,0.011880383855169997,d__Bacteria;p__Bacteroidota,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.016553788698371295,14684000
,phylum,0.007542959594235215,d__Bacteria;p__Planctomycetota,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.007653588281497223,9323000
,phylum,0.007475806784375564,d__Archaea;p__Thermoplasmatota,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.014127253818076575,9240000
,phylum,0.006713662845968444,d__Bacteria;p__Actinobacteriota,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.012554168784309077,8298000
,phylum,0.005006525149536364,d__Archaea;p__Thermoproteota,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.029097060523455048,6188000
,phylum,0.003907808091832681,d__Bacteria;p__Marinisomatota,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.008183616378216888,4830000
,phylum,0.0029288333938787383,d__Bacteria;p__SAR324,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.0045414167267452355,3620000
,phylum,0.0016982379264506829,d__Bacteria;p__Nitrospinota,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.00180017766402321,2099000
,phylum,0.0009676477179776162,d__Bacteria;p__Chloroflexota,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.0010957982196983897,1196000
,phylum,0.00048544199898542626,Eukaryota;Viridiplantae:Chlorophyta,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.00043762188248893524,600000
,phylum,0.0004765422290040267,d__Bacteria;p__Cyanobacteria,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.00036003553280464196,589000
,phylum,0.00047411501900909963,d__Bacteria;p__Myxococcota_A,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.000386188234945415,586000
,phylum,0.00031472822934221797,d__Bacteria;p__Desulfobacterota_D,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.00035349735726944865,389000
,phylum,0.00030097403937096425,d__Bacteria;p__Firmicutes,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.00028462857496541305,372000
,phylum,0.00023624843950624075,Eukaryota;Stramenopila:Ochrophyta,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.0002401689813260989,292000
,phylum,0.00014320538970070073,Eukaryota;Stramenopila:Bacillariophyta,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.0001067902004081565,177000
,phylum,0.00014158724970408265,d__Bacteria;p__Myxococcota,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.00010809783551519516,175000
,phylum,0.0001367328297142284,d__Bacteria;p__Desulfobacterota_B,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.00010722607877716939,169000
,phylum,0.00012783305973282892,d__Bacteria;p__Latescibacterota,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.00011289249757433688,158000
,phylum,9.870653979370333e-05,Eukaryota;Haptophyta:Haptophyta,2d024d95,zr2760_42_R1_interleaved.fq.gz,8.804743054060251e-05,122000
,phylum,4.530791990530645e-05,d__Bacteria;p__Firmicutes_A,2d024d95,zr2760_42_R1_interleaved.fq.gz,3.051148583090186e-05,56000
,phylum,0.8816589494873328,unclassified,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.8000211836887341,8379000
,class,0.02726646801301307,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.04502536376229285,33701000
,class,0.024658026338464728,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.04033618426845228,30477000
,class,0.015133654318370661,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.01625128911027635,18705000
,class,0.011880383855169997,d__Bacteria;p__Bacteroidota;c__Bacteroidia,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.016553788698371295,14684000
,class,0.007475806784375564,d__Archaea;p__Thermoplasmatota;c__Poseidoniia,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.014127253818076575,9240000
,class,0.006713662845968444,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.012554168784309077,8298000
,class,0.0054458501586181745,d__Bacteria;p__Planctomycetota;c__Planctomycetia,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.00588610149514998,6731000
,class,0.005006525149536364,d__Archaea;p__Thermoproteota;c__Nitrososphaeria,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.029097060523455048,6188000
,class,0.003907808091832681,d__Bacteria;p__Marinisomatota;c__Marinisomatia,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.008183616378216888,4830000
,class,0.0029288333938787383,d__Bacteria;p__SAR324;c__SAR324,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.0045414167267452355,3620000
,class,0.002049374305716808,d__Bacteria;p__Planctomycetota;c__Phycisphaerae,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.001728257733136084,2533000
,class,0.0016982379264506829,d__Bacteria;p__Nitrospinota;c__Nitrospinia,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.00180017766402321,2099000
,class,0.0009676477179776162,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.0010957982196983897,1196000
,class,0.0004765422290040267,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.00036003553280464196,589000
,class,0.00047411501900909963,d__Bacteria;p__Myxococcota_A;c__UBA9160,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.000386188234945415,586000
,class,0.000388353599188341,Eukaryota;Viridiplantae:Chlorophyta;Prasinophyceae,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.00029203850723863206,480000
,class,0.00031472822934221797,d__Bacteria;p__Desulfobacterota_D;c__UBA1144,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.00035349735726944865,389000
,class,0.00030097403937096425,d__Bacteria;p__Firmicutes;c__Bacilli,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.00028462857496541305,372000
,class,0.00019174958959924335,Eukaryota;Stramenopila:Ochrophyta;Pelagophyceae,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.00015299330752352217,237000
,class,0.0001796135396246077,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.00014340398340523873,222000
,class,0.00014320538970070073,Eukaryota;Stramenopila:Bacillariophyta;Coscinodiscophyceae,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.0001067902004081565,177000
,class,0.00014158724970408265,d__Bacteria;p__Myxococcota;c__XYA12-FULL-58-9,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.00010809783551519516,175000
,class,0.0001367328297142284,d__Bacteria;p__Desulfobacterota_B;c__Binatia,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.00010722607877716939,169000
,class,0.00012783305973282892,d__Bacteria;p__Latescibacterota;c__UBA2968,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.00011289249757433688,158000
,class,9.870653979370333e-05,Eukaryota;Haptophyta:Haptophyta;Prymnesiophyceae,2d024d95,zr2760_42_R1_interleaved.fq.gz,8.804743054060251e-05,122000
,class,9.708839979708524e-05,Eukaryota;Viridiplantae:Chlorophyta;Mamiellophyceae,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.00014558337525030315,120000
,class,4.773512990023358e-05,d__Bacteria;p__Planctomycetota;c__UBA1135,2d024d95,zr2760_42_R1_interleaved.fq.gz,3.922905321115953e-05,59000
,class,4.530791990530645e-05,d__Bacteria;p__Firmicutes_A;c__Clostridia,2d024d95,zr2760_42_R1_interleaved.fq.gz,3.051148583090186e-05,56000
,class,4.449884990699741e-05,Eukaryota;Stramenopila:Ochrophyta;Dictyochophyceae,2d024d95,zr2760_42_R1_interleaved.fq.gz,8.717567380257674e-05,55000
,class,0.8816589494873328,unclassified,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.8000211836887341,8379000
,order,0.01124283669650247,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.016065604925076863,13896000
,order,0.01102438779695903,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.014915757787620878,13626000
,order,0.00837063820250537,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.020000278962156177,10346000
,order,0.00788276899352501,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.007555515648469326,9743000
,order,0.006932111745511888,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.013590251667452702,8568000
,order,0.005708797908068613,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.006208651488219516,7056000
,order,0.005684525808119341,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.009554889727131425,7026000
,order,0.0054458501586181745,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.00588610149514998,6731000
,order,0.005006525149536364,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.029097060523455048,6188000
,order,0.004943417689668256,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.006037787167566465,6110000
,order,0.004682897150212745,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.007027666943594723,5788000
,order,0.004481438720633792,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.004004850454490376,5539000
,order,0.0042087821312036455,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.005751415079125,5202000
,order,0.0038050562020474333,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PS1,2d024d95,zr2760_42_R1_interleaved.fq.gz,0.014280247125600094,4703000
